,id_mapa,anio,mes,dia,fecha,franja,tipo,subtipo,uso_armas,barrio,comuna,latitud,longitud,victimas
1310,LC-2020-0098525,2020,Febrero,Viernes,14/02/2020,12,Lesiones,Siniestro Vial,,,,,,
1311,LC-2020-0098611,2020,Febrero,Viernes,14/02/2020,14,Lesiones,Siniestro Vial,,Retiro,1.0,-34.596901,-58.384182,
1312,LC-2020-0098613,2020,Febrero,Viernes,14/02/2020,11,Lesiones,Siniestro Vial,,Retiro,1.0,-34.587817,-58.37177,
1313,LC-2020-0098644,2020,Febrero,Viernes,14/02/2020,14,Lesiones,Siniestro Vial,,Nueva Pompeya,4.0,-34.649988,-58.404939,
1314,LC-2020-0098752,2020,Febrero,Viernes,14/02/2020,13,Lesiones,Siniestro Vial,,Chacarita,15.0,-34.578296,-58.460226,
1315,LC-2020-0098791,2020,Febrero,Viernes,14/02/2020,15,Lesiones,Siniestro Vial,,Constitución,1.0,-34.622148,-58.381002,
1316,LC-2020-0098841,2020,Febrero,Viernes,14/02/2020,14,Lesiones,Siniestro Vial,,Palermo,14.0,-34.583581,-58.418261,
1317,LC-2020-0099105,2020,Febrero,Viernes,14/02/2020,10,Lesiones,Siniestro Vial,,Retiro,1.0,-34.595102,-58.379464,
1318,LC-2020-0099290,2020,Febrero,Viernes,14/02/2020,18,Lesiones,Siniestro Vial,,San Nicolás,1.0,-34.604217,-58.389399,
1319,LC-2020-0099312,2020,Febrero,Viernes,14/02/2020,20,Lesiones,Siniestro Vial,,Villa Ortuzar,15.0,-34.578277,-58.461764,
1320,LC-2020-0099346,2020,Febrero,Viernes,14/02/2020,20,Lesiones,Siniestro Vial,,Parque Chas,15.0,-34.583038,-58.476651,
1321,LC-2020-0099356,2020,Febrero,Viernes,14/02/2020,19,Lesiones,Siniestro Vial,,Retiro,1.0,-34.595721,-58.385088,
1322,LC-2020-0099503,2020,Febrero,Viernes,14/02/2020,17,Lesiones,Siniestro Vial,,Recoleta,2.0,-34.594784,-58.401119,
1323,LC-2020-0099506,2020,Febrero,Viernes,14/02/2020,21,Lesiones,Siniestro Vial,,Palermo,14.0,-34.582405,-58.432561,
1324,LC-2020-0099562,2020,Febrero,Viernes,14/02/2020,19,Lesiones,Siniestro Vial,,Recoleta,2.0,-34.57071,-58.398972,
1325,LC-2020-0099599,2020,Febrero,Viernes,14/02/2020,23,Lesiones,Siniestro Vial,,Palermo,14.0,-34.591773,-58.415158,
1326,LC-2020-0099610,2020,Febrero,Viernes,14/02/2020,23,Lesiones,Siniestro Vial,,Retiro,1.0,-34.591585,-58.38207,
1327,LC-2020-0099615,2020,Febrero,Viernes,14/02/2020,23,Lesiones,Siniestro Vial,,Monserrat,1.0,-34.610092,-58.371723,
1328,LC-2020-0099631,2020,Febrero,Viernes,14/02/2020,20,Lesiones,Siniestro Vial,,Almagro,5.0,-34.603195,-58.421584,
1329,LC-2020-0099635,2020,Febrero,Viernes,14/02/2020,23,Lesiones,Siniestro Vial,,Villa Devoto,11.0,-34.604652,-58.525322,
